"","CPUE3.cases","CPUE3","CPUE3"
"1",2.39742196711639,3.05735675361559,3.06115953524941
"2",2.39705613598996,3.05426331077525,3.05989594155437
"3",2.39519751560995,3.05237696707802,3.05784075183089
"4",2.39352408777906,3.0495615799412,3.05607576451494
"5",2.39150048910654,3.04743389299322,3.0538592966479
"6",2.38919131095464,3.04412472285177,3.05144825216683
"7",2.38772242722102,3.0400100675116,3.0459941164777
"8",2.38564975535399,3.03406071681671,3.04449587833849
"9",2.38496502031736,3.03052099492359,3.04222693681799
"10",2.38435731331642,3.02540050902333,3.04011834572633
"11",2.38175250783617,3.02254486934486,3.03679456560791
"12",2.37762299589581,3.01721564455443,3.03107673629357
"13",2.37489111068451,3.0117809197148,3.02597644767728
"14",2.37120457113375,3.00477483810798,3.02138544399212
"15",2.36776211632074,2.99661929749192,3.01585722078406
"16",2.36186249474692,2.98800709278195,3.00913674454279
"17",2.35631087952181,2.97945432962608,3.00303218522957
"18",2.35144094833695,2.97178969190514,2.99753743859533
"19",2.34562686322264,2.96216389785286,2.98865186705587
"20",2.33947490031735,2.9529043088901,2.98002935372361
"21",2.33555257776049,2.94371407715738,2.97356124932558
"22",2.33060623946543,2.93316100720755,2.96855828853433
"23",2.32779598197917,2.92302963167285,2.96709134496852
"24",2.32536117065192,2.91413519999417,2.96780273515404
"25",2.32506756805912,2.90567200595533,2.96818705775786
"26",2.32770779912664,2.89765115564553,2.96907894130736
"27",2.3294273081017,2.89341978652411,2.97207500020088
"28",2.33263100239007,2.88929656024967,2.97743703988707
"29",2.33857335035736,2.88801181476653,2.98277479342943
"30",2.34355497326232,2.88514537894845,2.98936248706229
"31",2.34771987991291,2.88621323649922,2.92923012365839
"32",2.33318016648528,2.90531045752667,2.92415343164115
"33",2.34628982650469,2.89985421896246,2.93200981046629
"34",2.35255252147157,2.9046502762099,2.93190272470949
"35",2.36420273671827,2.89358370557985,2.93644059968419
"36",2.37841959837987,2.89874074567499,2.94015035465631
"37",2.37568385888788,2.91668232169933,2.99622184870563
"38",2.37870951286856,2.96241895012535,2.97174454359604
"39",2.35134972490966,2.95519772955844,2.95888490942184
"40",2.31865428664837,2.96812440645813,2.9361414571275
"41",2.31975481986121,2.93081760268944,2.92933081276559
"42",2.34342483672311,2.92924758525925,2.96153512467198
"43",2.33497701490024,2.91901320630549,2.97320578848983
"44",2.33701049376021,2.92660654088146,2.96796174870131
"45",2.32671193220696,2.94172156299576,2.97297695215048
"46",2.35536241662659,2.95164142359543,2.98908278379932
"47",2.37002553610682,2.94904916005513,2.98146134443369
"48",2.3645115158033,2.92008816559554,2.94839659628878
"49",2.37323437021722,2.92501606479351,2.96770616699578
"50",2.38996170397845,2.92264702779539,2.98392682861223
"51",2.37243977392696,2.91904933550261,2.97762727048148
"52",2.38447684599774,2.94132139945057,2.97695528069823
"53",2.37446481360641,2.9578383876612,2.95266281635734
"54",2.38017499816136,2.9557308185011,2.93110457017958
"55",2.37389353357811,2.96103343355109,2.95239675377538
"56",2.34358989593185,2.97857050084868,2.99011199805323
"57",2.35608583626319,2.95881353319949,3.00385190068878
"58",2.3619912399987,2.96308872386158,2.98482113056313
"59",2.32837014253768,2.93625295621325,2.97567622450531
"60",2.32411401841056,2.9484284705908,2.95297496256857
"61",2.30194876656756,2.94599089400467,2.90088543633682
"62",2.32397688884209,2.9633197478986,2.91797404449281
"63",2.31935987049512,2.93943765295026,2.9295774588011
"64",2.33359254788738,2.97375851150211,2.92772349927099
"65",2.32490645702365,2.9741453310816,2.93665414685505
"66",2.31541973453396,2.99380293189374,2.95027458297832
"67",2.27215144413081,2.95159535120257,2.97605787780546
"68",2.26945460104542,2.91321890315361,3.00070951271429
"69",2.27950317334162,2.88611089393572,2.97060889711344
"70",2.28113511885824,2.89207600340755,2.95418560331251
"71",2.26597588295445,2.88769208329868,2.95549921710023
"72",2.2660605777166,2.89984196371518,2.961426902587
"73",2.26115167291018,2.9067541647759,2.99354429523146
"74",2.26855688997544,2.90404481376298,3.00825133849917
"75",2.28306309369349,2.91318840015987,2.97967207260763
"76",2.28577671368528,2.92603330532572,2.95204365379316
"77",2.27802879750926,2.92925176038975,2.91721510208082
"78",2.28368907199894,2.95978075548605,2.90178797199877
"79",2.28129732647278,2.96456348233566,2.91714923388118
"80",2.27063271559776,2.96582700509359,2.9131915630958
"81",2.26693537895393,2.96691731975658,2.90854905478262
"82",2.29141278521741,2.96695298904205,2.8995949749937
"83",2.3099035647547,2.96534227373741,2.90832849190221
"84",2.31641276581043,2.98385627414535,2.92397890471778
"85",2.32684349753277,2.95382674363146,2.92326820532112
"86",2.33371405153239,2.96535503976505,2.9004605309584
"87",2.34824677796621,2.93987632641986,2.89308231509487
"88",2.3298978440596,2.94516396168774,2.89469372508545
"89",2.34584013634558,2.94510292760403,2.90465953890325
"90",2.33293834385369,2.96522813036548,2.91376601885495
"91",2.33005201365196,2.96567659665248,2.89658955290542
"92",2.32034510544237,2.9606610612472,2.91759714047259
"93",2.32361601784317,2.96305534803719,2.90610943168929
"94",2.35707221047499,2.96697147304653,2.91542137811556
"95",2.35999964454825,2.97163741497688,2.89014979925974
"96",2.36086141075026,2.96557050773517,2.90785164677723
"97",2.33722309066977,2.98718738430878,2.90867472370456
"98",2.32724246988655,2.98249871916033,2.90940094637342
"99",2.33227074480637,2.99915813310301,2.91772342581527
"100",2.31267005936522,2.98533463939216,2.92450073637288
"101",2.31587467718122,2.96181753585964,2.95743194365559
"102",2.31689442655169,2.94773114672355,2.9383867893918
"103",2.29475705792558,2.95393222746486,2.95884920226308
"104",2.30325365753626,2.94286767487305,2.95520105210054
"105",2.31247090052069,2.94482985633155,2.9555184025719
"106",2.30743914266535,2.94913713028621,2.95065797968868
"107",2.30672741245161,2.94029786851361,2.94648243563727
"108",2.3168042653658,2.92748533128237,2.95001250107336
"109",2.32489818120268,2.93418141506284,2.94812800806961
"110",2.32659991443249,2.93282519347053,2.96617872062329
"111",2.32061094007706,2.97009180530701,2.9346645169136
"112",2.31557347317328,2.96015602208509,2.9273103656717
"113",2.3020345873629,2.96276906924566,2.94811458822469
"114",2.30296778472264,2.9781356288616,2.95583794623339
"115",2.32360304573611,2.99024255683636,2.98348017782392
"116",2.31098513950163,3.01776855829946,2.97689460947679
"117",2.2965239304598,3.00989484917645,2.99182681566538
"118",2.30759068270985,3.01909161902823,2.97764418021948
